设备类别,标注json文件名称,data_path,json_path,转换状态（Y/N）,,,,
PIKA,task_pour_basket_egg_yolk_pastry_1000_5.11,,,,,,,
,task_left_black_egg_yolk_pastry_250,/docker/1.上传数据/WD14T/PIKA/task_pour_basket_egg_yolk_pastry_1000_5.11/task_left_black_egg_yolk_pastry_250/episode0,data/manual-upload/RoboBrain_Robotic_pika/videos/train/17236/17236_cam_high.mp4,,,,,
,,/docker/1.上传数据/WD14T/PIKA/task_pour_basket_egg_yolk_pastry_1000_5.11/task_left_black_egg_yolk_pastry_250/episode1,data/manual-upload/RoboBrain_Robotic_pika/videos/train/17237/17237_cam_high.mp4,,,,,
,,/docker/1.上传数据/WD14T/PIKA/task_pour_basket_egg_yolk_pastry_1000_5.11/task_left_black_egg_yolk_pastry_250/episode2,data/manual-upload/RoboBrain_Robotic_pika/videos/train/17263/17263_cam_high.mp4,,,,,
,,/docker/1.上传数据/WD14T/PIKA/task_pour_basket_egg_yolk_pastry_1000_5.11/task_left_black_egg_yolk_pastry_250/episode3,data/manual-upload/RoboBrain_Robotic_pika/videos/train/17409/17409_cam_high.mp4,,,,,
,,/docker/1.上传数据/WD14T/PIKA/task_pour_basket_egg_yolk_pastry_1000_5.11/task_left_black_egg_yolk_pastry_250/episode4,data/manual-upload/RoboBrain_Robotic_pika/videos/train/17420/17420_cam_high.mp4,,,,,
,,/docker/1.上传数据/WD14T/PIKA/task_pour_basket_egg_yolk_pastry_1000_5.11/task_left_black_egg_yolk_pastry_250/episode5,data/manual-upload/RoboBrain_Robotic_pika/videos/train/17431/17431_cam_high.mp4,,,,,
,,/docker/1.上传数据/WD14T/PIKA/task_pour_basket_egg_yolk_pastry_1000_5.11/task_left_black_egg_yolk_pastry_250/episode6,data/manual-upload/RoboBrain_Robotic_pika/videos/train/17442/17442_cam_high.mp4,,,,,
,,/docker/1.上传数据/WD14T/PIKA/task_pour_basket_egg_yolk_pastry_1000_5.11/task_left_black_egg_yolk_pastry_250/episode7,data/manual-upload/RoboBrain_Robotic_pika/videos/train/17453/17453_cam_high.mp4,,,,,
,,/docker/1.上传数据/WD14T/PIKA/task_pour_basket_egg_yolk_pastry_1000_5.11/task_left_black_egg_yolk_pastry_250/episode8,data/manual-upload/RoboBrain_Robotic_pika/videos/train/17464/17464_cam_high.mp4,,,,,
