,标注json文件名称,data_path,json_path,转换状态（Y/N）
PIKA,task_stask_pour_bowl_4.17_1000,/docker/1.上传数据/data1/pika/task_stask_pour_bowl_4.17_1000/task_blue_bowl/task_have_interference/task_egg_yolk/episode0,data/manual-upload/RoboBrain_Robotic_pika/videos/train/3248/3248_cam_high.mp4,
,,/docker/1.上传数据/data1/pika/task_stask_pour_bowl_4.17_1000/task_blue_bowl/task_have_interference/task_egg_yolk/episode1,data/manual-upload/RoboBrain_Robotic_pika/videos/train/3249/3249_cam_high.mp4,
,,/docker/1.上传数据/data1/pika/task_stask_pour_bowl_4.17_1000/task_blue_bowl/task_have_interference/task_egg_yolk/episode2,data/manual-upload/RoboBrain_Robotic_pika/videos/train/3260/3260_cam_high.mp4,
,,/docker/1.上传数据/data1/pika/task_stask_pour_bowl_4.17_1000/task_blue_bowl/task_have_interference/task_egg_yolk/episode3,data/manual-upload/RoboBrain_Robotic_pika/videos/train/3271/3271_cam_high.mp4,
,,/docker/1.上传数据/data1/pika/task_stask_pour_bowl_4.17_1000/task_blue_bowl/task_have_interference/task_egg_yolk/episode4,data/manual-upload/RoboBrain_Robotic_pika/videos/train/3282/3282_cam_high.mp4,
,,/docker/1.上传数据/data1/pika/task_stask_pour_bowl_4.17_1000/task_blue_bowl/task_have_interference/task_egg_yolk/episode5,data/manual-upload/RoboBrain_Robotic_pika/videos/train/3288/3288_cam_high.mp4,
,,/docker/1.上传数据/data1/pika/task_stask_pour_bowl_4.17_1000/task_blue_bowl/task_have_interference/task_egg_yolk/episode6,data/manual-upload/RoboBrain_Robotic_pika/videos/train/3289/3289_cam_high.mp4,
,,/docker/1.上传数据/data1/pika/task_stask_pour_bowl_4.17_1000/task_blue_bowl/task_have_interference/task_egg_yolk/episode7,data/manual-upload/RoboBrain_Robotic_pika/videos/train/3290/3290_cam_high.mp4,
,,/docker/1.上传数据/data1/pika/task_stask_pour_bowl_4.17_1000/task_blue_bowl/task_have_interference/task_egg_yolk/episode8,data/manual-upload/RoboBrain_Robotic_pika/videos/train/3291/3291_cam_high.mp4,
,,/docker/1.上传数据/data1/pika/task_stask_pour_bowl_4.17_1000/task_blue_bowl/task_have_interference/task_egg_yolk/episode9,data/manual-upload/RoboBrain_Robotic_pika/videos/train/3292/3292_cam_high.mp4,
