设备类别,标注json文件名称,data_path,json_path,转换状态（Y/N）
PIAK,task_pour_tea_4.21_1000,/docker/1.上传数据/data1/pika/task_pour_tea_4.21_1000/task_left_paw_first_grab_tea_500/task_left_paw_first_grab_teacup_200/episode0,data/manual-upload/RoboBrain_Robotic_pika/videos/train/4251/4251_cam_high.mp4,
,,/docker/1.上传数据/data1/pika/task_pour_tea_4.21_1000/task_left_paw_first_grab_tea_500/task_left_paw_first_grab_teacup_200/episode1,data/manual-upload/RoboBrain_Robotic_pika/videos/train/4252/4252_cam_high.mp4,
,,/docker/1.上传数据/data1/pika/task_pour_tea_4.21_1000/task_left_paw_first_grab_tea_500/task_left_paw_first_grab_teacup_200/episode2,data/manual-upload/RoboBrain_Robotic_pika/videos/train/4363/4363_cam_high.mp4,
,,/docker/1.上传数据/data1/pika/task_pour_tea_4.21_1000/task_left_paw_first_grab_tea_500/task_left_paw_first_grab_teacup_200/episode3,data/manual-upload/RoboBrain_Robotic_pika/videos/train/4374/4374_cam_high.mp4,
,,/docker/1.上传数据/data1/pika/task_pour_tea_4.21_1000/task_left_paw_first_grab_tea_500/task_left_paw_first_grab_teacup_200/episode4,data/manual-upload/RoboBrain_Robotic_pika/videos/train/4385/4385_cam_high.mp4,
,,/docker/1.上传数据/data1/pika/task_pour_tea_4.21_1000/task_left_paw_first_grab_tea_500/task_left_paw_first_grab_teacup_200/episode5,data/manual-upload/RoboBrain_Robotic_pika/videos/train/4396/4396_cam_high.mp4,
,,/docker/1.上传数据/data1/pika/task_pour_tea_4.21_1000/task_left_paw_first_grab_tea_500/task_left_paw_first_grab_teacup_200/episode6,data/manual-upload/RoboBrain_Robotic_pika/videos/train/4407/4407_cam_high.mp4,
,,/docker/1.上传数据/data1/pika/task_pour_tea_4.21_1000/task_left_paw_first_grab_tea_500/task_left_paw_first_grab_teacup_200/episode7,data/manual-upload/RoboBrain_Robotic_pika/videos/train/4418/4418_cam_high.mp4,
,,/docker/1.上传数据/data1/pika/task_pour_tea_4.21_1000/task_left_paw_first_grab_tea_500/task_left_paw_first_grab_teacup_200/episode8,data/manual-upload/RoboBrain_Robotic_pika/videos/train/4429/4429_cam_high.mp4,
,,/docker/1.上传数据/data1/pika/task_pour_tea_4.21_1000/task_left_paw_first_grab_tea_500/task_left_paw_first_grab_teacup_200/episode9,data/manual-upload/RoboBrain_Robotic_pika/videos/train/4440/4440_cam_high.mp4,
,,/docker/1.上传数据/data1/pika/task_pour_tea_4.21_1000/task_left_paw_first_grab_tea_500/task_left_paw_first_grab_teacup_200/episode10,data/manual-upload/RoboBrain_Robotic_pika/videos/train/4253/4253_cam_high.mp4,
,,/docker/1.上传数据/data1/pika/task_pour_tea_4.21_1000/task_left_paw_first_grab_tea_500/task_left_paw_first_grab_teacup_200/episode11,data/manual-upload/RoboBrain_Robotic_pika/videos/train/4264/4264_cam_high.mp4,
,,/docker/1.上传数据/data1/pika/task_pour_tea_4.21_1000/task_left_paw_first_grab_tea_500/task_left_paw_first_grab_teacup_200/episode12,data/manual-upload/RoboBrain_Robotic_pika/videos/train/4275/4275_cam_high.mp4,
,,/docker/1.上传数据/data1/pika/task_pour_tea_4.21_1000/task_left_paw_first_grab_tea_500/task_left_paw_first_grab_teacup_200/episode13,data/manual-upload/RoboBrain_Robotic_pika/videos/train/4286/4286_cam_high.mp4,
,,/docker/1.上传数据/data1/pika/task_pour_tea_4.21_1000/task_left_paw_first_grab_tea_500/task_left_paw_first_grab_teacup_200/episode14,data/manual-upload/RoboBrain_Robotic_pika/videos/train/4297/4297_cam_high.mp4,
,,/docker/1.上传数据/data1/pika/task_pour_tea_4.21_1000/task_left_paw_first_grab_tea_500/task_left_paw_first_grab_teacup_200/episode15,data/manual-upload/RoboBrain_Robotic_pika/videos/train/4308/4308_cam_high.mp4,
,,/docker/1.上传数据/data1/pika/task_pour_tea_4.21_1000/task_left_paw_first_grab_tea_500/task_left_paw_first_grab_teacup_200/episode16,data/manual-upload/RoboBrain_Robotic_pika/videos/train/4319/4319_cam_high.mp4,
,,/docker/1.上传数据/data1/pika/task_pour_tea_4.21_1000/task_left_paw_first_grab_tea_500/task_left_paw_first_grab_teacup_200/episode17,data/manual-upload/RoboBrain_Robotic_pika/videos/train/4330/4330_cam_high.mp4,
,,/docker/1.上传数据/data1/pika/task_pour_tea_4.21_1000/task_left_paw_first_grab_tea_500/task_left_paw_first_grab_teacup_200/episode18,data/manual-upload/RoboBrain_Robotic_pika/videos/train/4341/4341_cam_high.mp4,
,,/docker/1.上传数据/data1/pika/task_pour_tea_4.21_1000/task_left_paw_first_grab_tea_500/task_left_paw_first_grab_teacup_200/episode19,data/manual-upload/RoboBrain_Robotic_pika/videos/train/4352/4352_cam_high.mp4,
,,/docker/1.上传数据/data1/pika/task_pour_tea_4.21_1000/task_left_paw_first_grab_tea_500/task_left_paw_first_grab_teacup_200/episode20,data/manual-upload/RoboBrain_Robotic_pika/videos/train/4364/4364_cam_high.mp4,
,,/docker/1.上传数据/data1/pika/task_pour_tea_4.21_1000/task_left_paw_first_grab_tea_500/task_left_paw_first_grab_teacup_200/episode21,data/manual-upload/RoboBrain_Robotic_pika/videos/train/4365/4365_cam_high.mp4,
,,/docker/1.上传数据/data1/pika/task_pour_tea_4.21_1000/task_left_paw_first_grab_tea_500/task_left_paw_first_grab_teacup_200/episode22,data/manual-upload/RoboBrain_Robotic_pika/videos/train/4366/4366_cam_high.mp4,
,,/docker/1.上传数据/data1/pika/task_pour_tea_4.21_1000/task_left_paw_first_grab_tea_500/task_left_paw_first_grab_teacup_200/episode23,data/manual-upload/RoboBrain_Robotic_pika/videos/train/4367/4367_cam_high.mp4,
,,/docker/1.上传数据/data1/pika/task_pour_tea_4.21_1000/task_left_paw_first_grab_tea_500/task_left_paw_first_grab_teacup_200/episode24,data/manual-upload/RoboBrain_Robotic_pika/videos/train/4368/4368_cam_high.mp4,
,,/docker/1.上传数据/data1/pika/task_pour_tea_4.21_1000/task_left_paw_first_grab_tea_500/task_left_paw_first_grab_teacup_200/episode25,data/manual-upload/RoboBrain_Robotic_pika/videos/train/4369/4369_cam_high.mp4,
,,/docker/1.上传数据/data1/pika/task_pour_tea_4.21_1000/task_left_paw_first_grab_tea_500/task_left_paw_first_grab_teacup_200/episode26,data/manual-upload/RoboBrain_Robotic_pika/videos/train/4370/4370_cam_high.mp4,
,,/docker/1.上传数据/data1/pika/task_pour_tea_4.21_1000/task_left_paw_first_grab_tea_500/task_left_paw_first_grab_teacup_200/episode27,data/manual-upload/RoboBrain_Robotic_pika/videos/train/4371/4371_cam_high.mp4,
,,/docker/1.上传数据/data1/pika/task_pour_tea_4.21_1000/task_left_paw_first_grab_tea_500/task_left_paw_first_grab_teacup_200/episode28,data/manual-upload/RoboBrain_Robotic_pika/videos/train/4372/4372_cam_high.mp4,
,,/docker/1.上传数据/data1/pika/task_pour_tea_4.21_1000/task_left_paw_first_grab_tea_500/task_left_paw_first_grab_teacup_200/episode29,data/manual-upload/RoboBrain_Robotic_pika/videos/train/4373/4373_cam_high.mp4,
