设备类别,标注json文件名称,data_path,json_path,转换状态（Y/N）
PIKA,task_pour_basket_banana_1000_5.13,,,
,task_pour_basket_banana_1000_5.13/task_left_black_bananan_250,/docker/1.上传数据/新加卷Q/5月数据/pika/task_pour_basket_banana_1000_5.13/task_left_black_bananan_250/episode0,data/manual-upload/RoboBrain_Robotic_pika/videos/train/15238/15238_cam_high.mp4,
,,/docker/1.上传数据/新加卷Q/5月数据/pika/task_pour_basket_banana_1000_5.13/task_left_black_bananan_250/episode1,data/manual-upload/RoboBrain_Robotic_pika/videos/train/15239/15239_cam_high.mp4,
,,/docker/1.上传数据/新加卷Q/5月数据/pika/task_pour_basket_banana_1000_5.13/task_left_black_bananan_250/episode2,data/manual-upload/RoboBrain_Robotic_pika/videos/train/15350/15350_cam_high.mp4,
,,/docker/1.上传数据/新加卷Q/5月数据/pika/task_pour_basket_banana_1000_5.13/task_left_black_bananan_250/episode3,data/manual-upload/RoboBrain_Robotic_pika/videos/train/15411/15411_cam_high.mp4,
,,/docker/1.上传数据/新加卷Q/5月数据/pika/task_pour_basket_banana_1000_5.13/task_left_black_bananan_250/episode4,data/manual-upload/RoboBrain_Robotic_pika/videos/train/15422/15422_cam_high.mp4,
,,/docker/1.上传数据/新加卷Q/5月数据/pika/task_pour_basket_banana_1000_5.13/task_left_black_bananan_250/episode5,data/manual-upload/RoboBrain_Robotic_pika/videos/train/15433/15433_cam_high.mp4,
,,/docker/1.上传数据/新加卷Q/5月数据/pika/task_pour_basket_banana_1000_5.13/task_left_black_bananan_250/episode6,data/manual-upload/RoboBrain_Robotic_pika/videos/train/15444/15444_cam_high.mp4,
,,/docker/1.上传数据/新加卷Q/5月数据/pika/task_pour_basket_banana_1000_5.13/task_left_black_bananan_250/episode7,data/manual-upload/RoboBrain_Robotic_pika/videos/train/15455/15455_cam_high.mp4,
,,/docker/1.上传数据/新加卷Q/5月数据/pika/task_pour_basket_banana_1000_5.13/task_left_black_bananan_250/episode8,data/manual-upload/RoboBrain_Robotic_pika/videos/train/15466/15466_cam_high.mp4,
,,/docker/1.上传数据/新加卷Q/5月数据/pika/task_pour_basket_banana_1000_5.13/task_left_black_bananan_250/episode9,data/manual-upload/RoboBrain_Robotic_pika/videos/train/15477/15477_cam_high.mp4,
,,/docker/1.上传数据/新加卷Q/5月数据/pika/task_pour_basket_banana_1000_5.13/task_left_black_bananan_250/episode10,data/manual-upload/RoboBrain_Robotic_pika/videos/train/15240/15240_cam_high.mp4,
,,/docker/1.上传数据/新加卷Q/5月数据/pika/task_pour_basket_banana_1000_5.13/task_left_black_bananan_250/episode11,data/manual-upload/RoboBrain_Robotic_pika/videos/train/15251/15251_cam_high.mp4,
,,/docker/1.上传数据/新加卷Q/5月数据/pika/task_pour_basket_banana_1000_5.13/task_left_black_bananan_250/episode12,data/manual-upload/RoboBrain_Robotic_pika/videos/train/15262/15262_cam_high.mp4,
,,/docker/1.上传数据/新加卷Q/5月数据/pika/task_pour_basket_banana_1000_5.13/task_left_black_bananan_250/episode13,data/manual-upload/RoboBrain_Robotic_pika/videos/train/15273/15273_cam_high.mp4,
,,/docker/1.上传数据/新加卷Q/5月数据/pika/task_pour_basket_banana_1000_5.13/task_left_black_bananan_250/episode14,data/manual-upload/RoboBrain_Robotic_pika/videos/train/15284/15284_cam_high.mp4,
