设备类别,标注json文件名称,data_path,,json_path,转换状态（Y/N）
PIKA,task_pour_basket_peach_1000_5.01,,,,
,task_left_yellow_peach_250,/docker/1.上传数据/WD14T/PIKA/task_pour_basket_peach_1000_5.01/task_left_yellow_peach_250/episode0,,data/manual-upload/RoboBrain_Robotic_pika/videos/train/18486/18486_cam_high.mp4,
,,/docker/1.上传数据/WD14T/PIKA/task_pour_basket_peach_1000_5.01/task_left_yellow_peach_250/episode1,,data/manual-upload/RoboBrain_Robotic_pika/videos/train/18487/18487_cam_high.mp4,
,,/docker/1.上传数据/WD14T/PIKA/task_pour_basket_peach_1000_5.01/task_left_yellow_peach_250/episode2,,data/manual-upload/RoboBrain_Robotic_pika/videos/train/18598/18598_cam_high.mp4,
,,/docker/1.上传数据/WD14T/PIKA/task_pour_basket_peach_1000_5.01/task_left_yellow_peach_250/episode3,,data/manual-upload/RoboBrain_Robotic_pika/videos/train/18659/18659_cam_high.mp4,
,,/docker/1.上传数据/WD14T/PIKA/task_pour_basket_peach_1000_5.01/task_left_yellow_peach_250/episode4,,data/manual-upload/RoboBrain_Robotic_pika/videos/train/18670/18670_cam_high.mp4,
,,/docker/1.上传数据/WD14T/PIKA/task_pour_basket_peach_1000_5.01/task_left_yellow_peach_250/episode5,,data/manual-upload/RoboBrain_Robotic_pika/videos/train/18681/18681_cam_high.mp4,
,,/docker/1.上传数据/WD14T/PIKA/task_pour_basket_peach_1000_5.01/task_left_yellow_peach_250/episode6,,data/manual-upload/RoboBrain_Robotic_pika/videos/train/18692/18692_cam_high.mp4,
,,/docker/1.上传数据/WD14T/PIKA/task_pour_basket_peach_1000_5.01/task_left_yellow_peach_250/episode7,,data/manual-upload/RoboBrain_Robotic_pika/videos/train/18703/18703_cam_high.mp4,
,,/docker/1.上传数据/WD14T/PIKA/task_pour_basket_peach_1000_5.01/task_left_yellow_peach_250/episode8,,data/manual-upload/RoboBrain_Robotic_pika/videos/train/18714/18714_cam_high.mp4,
,,/docker/1.上传数据/WD14T/PIKA/task_pour_basket_peach_1000_5.01/task_left_yellow_peach_250/episode9,,data/manual-upload/RoboBrain_Robotic_pika/videos/train/18725/18725_cam_high.mp4,
,,/docker/1.上传数据/WD14T/PIKA/task_pour_basket_peach_1000_5.01/task_left_yellow_peach_250/episode10,,data/manual-upload/RoboBrain_Robotic_pika/videos/train/18488/18488_cam_high.mp4,
,,/docker/1.上传数据/WD14T/PIKA/task_pour_basket_peach_1000_5.01/task_left_yellow_peach_250/episode11,,data/manual-upload/RoboBrain_Robotic_pika/videos/train/18499/18499_cam_high.mp4,
,,/docker/1.上传数据/WD14T/PIKA/task_pour_basket_peach_1000_5.01/task_left_yellow_peach_250/episode12,,data/manual-upload/RoboBrain_Robotic_pika/videos/train/18510/18510_cam_high.mp4,
,,/docker/1.上传数据/WD14T/PIKA/task_pour_basket_peach_1000_5.01/task_left_yellow_peach_250/episode13,,data/manual-upload/RoboBrain_Robotic_pika/videos/train/18521/18521_cam_high.mp4,
