设备类别,标注json文件名称,data_path,json_path,转换状态（Y/N）,
PIKA,task_build_blocks_1000_4.27,/docker/1.上传数据/data4/pika/task_build_blocks_1000_4.27/left_first1/episode0,data/manual-upload/RoboBrain_Robotic_pika/videos/train/249/249_cam_high.mp4,,
,,/docker/1.上传数据/data4/pika/task_build_blocks_1000_4.27/left_first1/episode1,data/manual-upload/RoboBrain_Robotic_pika/videos/train/250/250_cam_high.mp4,,
,,/docker/1.上传数据/data4/pika/task_build_blocks_1000_4.27/left_first1/episode2,data/manual-upload/RoboBrain_Robotic_pika/videos/train/261/261_cam_high.mp4,,
,,/docker/1.上传数据/data4/pika/task_build_blocks_1000_4.27/left_first1/episode3,data/manual-upload/RoboBrain_Robotic_pika/videos/train/272/272_cam_high.mp4,,
,,/docker/1.上传数据/data4/pika/task_build_blocks_1000_4.27/left_first1/episode4,data/manual-upload/RoboBrain_Robotic_pika/videos/train/283/283_cam_high.mp4,,
,,/docker/1.上传数据/data4/pika/task_build_blocks_1000_4.27/left_first1/episode5,data/manual-upload/RoboBrain_Robotic_pika/videos/train/294/294_cam_high.mp4,,
,,/docker/1.上传数据/data4/pika/task_build_blocks_1000_4.27/left_first1/episode6,data/manual-upload/RoboBrain_Robotic_pika/videos/train/305/305_cam_high.mp4,,
,,/docker/1.上传数据/data4/pika/task_build_blocks_1000_4.27/left_first1/episode7,data/manual-upload/RoboBrain_Robotic_pika/videos/train/316/316_cam_high.mp4,,
,,/docker/1.上传数据/data4/pika/task_build_blocks_1000_4.27/left_first1/episode8,data/manual-upload/RoboBrain_Robotic_pika/videos/train/327/327_cam_high.mp4,,
,,/docker/1.上传数据/data4/pika/task_build_blocks_1000_4.27/left_first1/episode9,data/manual-upload/RoboBrain_Robotic_pika/videos/train/338/338_cam_high.mp4,,
,,/docker/1.上传数据/data4/pika/task_build_blocks_1000_4.27/left_first1/episode10,data/manual-upload/RoboBrain_Robotic_pika/videos/train/251/251_cam_high.mp4,,
,,/docker/1.上传数据/data4/pika/task_build_blocks_1000_4.27/left_first1/episode11,data/manual-upload/RoboBrain_Robotic_pika/videos/train/252/252_cam_high.mp4,,
,,/docker/1.上传数据/data4/pika/task_build_blocks_1000_4.27/left_first1/episode12,data/manual-upload/RoboBrain_Robotic_pika/videos/train/253/253_cam_high.mp4,,
,,/docker/1.上传数据/data4/pika/task_build_blocks_1000_4.27/left_first1/episode13,data/manual-upload/RoboBrain_Robotic_pika/videos/train/254/254_cam_high.mp4,,
,,/docker/1.上传数据/data4/pika/task_build_blocks_1000_4.27/left_first1/episode14,data/manual-upload/RoboBrain_Robotic_pika/videos/train/255/255_cam_high.mp4,,
,,/docker/1.上传数据/data4/pika/task_build_blocks_1000_4.27/left_first1/episode15,data/manual-upload/RoboBrain_Robotic_pika/videos/train/256/256_cam_high.mp4,,
,,/docker/1.上传数据/data4/pika/task_build_blocks_1000_4.27/left_first1/episode16,data/manual-upload/RoboBrain_Robotic_pika/videos/train/257/257_cam_high.mp4,,
,,/docker/1.上传数据/data4/pika/task_build_blocks_1000_4.27/left_first1/episode17,data/manual-upload/RoboBrain_Robotic_pika/videos/train/258/258_cam_high.mp4,,
,,/docker/1.上传数据/data4/pika/task_build_blocks_1000_4.27/left_first1/episode18,data/manual-upload/RoboBrain_Robotic_pika/videos/train/259/259_cam_high.mp4,,
,,/docker/1.上传数据/data4/pika/task_build_blocks_1000_4.27/left_first1/episode19,data/manual-upload/RoboBrain_Robotic_pika/videos/train/260/260_cam_high.mp4,,
,,/docker/1.上传数据/data4/pika/task_build_blocks_1000_4.27/left_first1/episode20,data/manual-upload/RoboBrain_Robotic_pika/videos/train/262/262_cam_high.mp4,,
,,/docker/1.上传数据/data4/pika/task_build_blocks_1000_4.27/left_first1/episode21,data/manual-upload/RoboBrain_Robotic_pika/videos/train/263/263_cam_high.mp4,,
,,/docker/1.上传数据/data4/pika/task_build_blocks_1000_4.27/left_first1/episode22,data/manual-upload/RoboBrain_Robotic_pika/videos/train/264/264_cam_high.mp4,,
,,/docker/1.上传数据/data4/pika/task_build_blocks_1000_4.27/left_first1/episode23,data/manual-upload/RoboBrain_Robotic_pika/videos/train/265/265_cam_high.mp4,,
,,/docker/1.上传数据/data4/pika/task_build_blocks_1000_4.27/left_first1/episode24,data/manual-upload/RoboBrain_Robotic_pika/videos/train/266/266_cam_high.mp4,,
,,/docker/1.上传数据/data4/pika/task_build_blocks_1000_4.27/left_first1/episode25,data/manual-upload/RoboBrain_Robotic_pika/videos/train/267/267_cam_high.mp4,,
,,/docker/1.上传数据/data4/pika/task_build_blocks_1000_4.27/left_first1/episode26,data/manual-upload/RoboBrain_Robotic_pika/videos/train/268/268_cam_high.mp4,,
,,/docker/1.上传数据/data4/pika/task_build_blocks_1000_4.27/left_first1/episode27,data/manual-upload/RoboBrain_Robotic_pika/videos/train/269/269_cam_high.mp4,,
,,/docker/1.上传数据/data4/pika/task_build_blocks_1000_4.27/left_first1/episode28,data/manual-upload/RoboBrain_Robotic_pika/videos/train/270/270_cam_high.mp4,,
,,/docker/1.上传数据/data4/pika/task_build_blocks_1000_4.27/left_first1/episode29,data/manual-upload/RoboBrain_Robotic_pika/videos/train/271/271_cam_high.mp4,,
,,/docker/1.上传数据/data4/pika/task_build_blocks_1000_4.27/left_first1/episode30,data/manual-upload/RoboBrain_Robotic_pika/videos/train/273/273_cam_high.mp4,,
,,/docker/1.上传数据/data4/pika/task_build_blocks_1000_4.27/left_first1/episode31,data/manual-upload/RoboBrain_Robotic_pika/videos/train/274/274_cam_high.mp4,,
,,/docker/1.上传数据/data4/pika/task_build_blocks_1000_4.27/left_first1/episode32,data/manual-upload/RoboBrain_Robotic_pika/videos/train/275/275_cam_high.mp4,,
,,/docker/1.上传数据/data4/pika/task_build_blocks_1000_4.27/left_first1/episode33,data/manual-upload/RoboBrain_Robotic_pika/videos/train/276/276_cam_high.mp4,,
,,/docker/1.上传数据/data4/pika/task_build_blocks_1000_4.27/left_first1/episode34,data/manual-upload/RoboBrain_Robotic_pika/videos/train/277/277_cam_high.mp4,,
,,/docker/1.上传数据/data4/pika/task_build_blocks_1000_4.27/left_first1/episode35,data/manual-upload/RoboBrain_Robotic_pika/videos/train/278/278_cam_high.mp4,,
,,/docker/1.上传数据/data4/pika/task_build_blocks_1000_4.27/left_first1/episode36,data/manual-upload/RoboBrain_Robotic_pika/videos/train/279/279_cam_high.mp4,,
,,/docker/1.上传数据/data4/pika/task_build_blocks_1000_4.27/left_first1/episode37,data/manual-upload/RoboBrain_Robotic_pika/videos/train/280/280_cam_high.mp4,,
,,/docker/1.上传数据/data4/pika/task_build_blocks_1000_4.27/left_first1/episode38,data/manual-upload/RoboBrain_Robotic_pika/videos/train/281/281_cam_high.mp4,,
,,/docker/1.上传数据/data4/pika/task_build_blocks_1000_4.27/left_first1/episode39,data/manual-upload/RoboBrain_Robotic_pika/videos/train/282/282_cam_high.mp4,,
,,/docker/1.上传数据/data4/pika/task_build_blocks_1000_4.27/left_first1/episode40,data/manual-upload/RoboBrain_Robotic_pika/videos/train/284/284_cam_high.mp4,,
,,/docker/1.上传数据/data4/pika/task_build_blocks_1000_4.27/left_first1/episode41,data/manual-upload/RoboBrain_Robotic_pika/videos/train/285/285_cam_high.mp4,,
,,/docker/1.上传数据/data4/pika/task_build_blocks_1000_4.27/left_first1/episode42,data/manual-upload/RoboBrain_Robotic_pika/videos/train/286/286_cam_high.mp4,,
,,/docker/1.上传数据/data4/pika/task_build_blocks_1000_4.27/left_first1/episode43,data/manual-upload/RoboBrain_Robotic_pika/videos/train/287/287_cam_high.mp4,,
,,/docker/1.上传数据/data4/pika/task_build_blocks_1000_4.27/left_first1/episode44,data/manual-upload/RoboBrain_Robotic_pika/videos/train/288/288_cam_high.mp4,,
,,/docker/1.上传数据/data4/pika/task_build_blocks_1000_4.27/left_first1/episode45,data/manual-upload/RoboBrain_Robotic_pika/videos/train/289/289_cam_high.mp4,,
,,/docker/1.上传数据/data4/pika/task_build_blocks_1000_4.27/left_first1/episode46,data/manual-upload/RoboBrain_Robotic_pika/videos/train/290/290_cam_high.mp4,,
,,/docker/1.上传数据/data4/pika/task_build_blocks_1000_4.27/left_first1/episode47,data/manual-upload/RoboBrain_Robotic_pika/videos/train/291/291_cam_high.mp4,,
,,/docker/1.上传数据/data4/pika/task_build_blocks_1000_4.27/left_first1/episode48,data/manual-upload/RoboBrain_Robotic_pika/videos/train/292/292_cam_high.mp4,,
